storename,main_category,sub_category,item_name,item_price,item_info,item_unit,link
sri balaji indian market mnchen,konserven ,fisch ,Jeden Tag Thunfischfilet Natur,€2.37,195 g,€12.15/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-thunfischfilet-natur-itemid-64ba924d64ce3d749aa95120
sri balaji indian market mnchen,konserven ,fisch ,Jeden Tag Heringsfilet in Tomatencreme,€1.77,200 g,€12.15/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-heringsfilet-in-tomatencreme-itemid-64ba924d64ce3d749aa95121
sri balaji indian market mnchen,konserven ,fisch ,Jeden Tag Thunfischstücke in Gemüsesauce,€1.77,185 g,€12.15/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-thunfischstucke-in-gemusesauce-itemid-64ba924d64ce3d749aa95122
sri balaji indian market mnchen,konserven ,fisch ,Jeden Tag Heringsfilets in Körniger Senfcreme,€1.77,200 g,€12.15/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-heringsfilets-in-korniger-senfcreme-itemid-64ba924d64ce3d749aa95123
sri balaji indian market mnchen,konserven ,fisch ,Hawesta Heringsfilets in Toscana-Sauce,€2.37,200 g,€12.15/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/hawesta-heringsfilets-in-toscana-sauce-itemid-64b65b0b9f8651f3464517e3
sri balaji indian market mnchen,konserven ,wurst ,Lutz Delikatess Leberwurst,€1.49,125 g,€11.92/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/lutz-delikatess-leberwurst-itemid-64ba924d64ce3d749aa95124
sri balaji indian market mnchen,konserven ,wurst ,Lutz Jagdwurst,€1.49,125 g,€11.92/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/lutz-jagdwurst-itemid-64ba924d64ce3d749aa95125
sri balaji indian market mnchen,konserven ,wurst ,Lutz Bierwurst,€1.49,125 g,€11.92/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/lutz-bierwurst-itemid-64b65b0b9f8651f3464517e7
sri balaji indian market mnchen,konserven ,wurst ,Jeden Tag Bockwürste,€3.32,380 g,€11.92/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-bockwurste-itemid-64ba924d64ce3d749aa95126
sri balaji indian market mnchen,konserven ,wurst ,Meica Wiener Würstchen 6er,€3.20,250 g,€11.92/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/meica-wiener-wurstchen-6er-itemid-64b65b0b9f8651f346451718
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,Jeden Tag Slipeinlagen Lang 32er,€1.77,1 pc,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-slipeinlagen-lang-32er-itemid-64ba924d64ce3d749aa9515d
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,Jeden Tag Ultrabinden Nacht Plus 14er,€1.73,1 pc,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-ultrabinden-nacht-plus-14er-itemid-64ba924d64ce3d749aa9515e
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,Jeden Tag Damenbinden Maxi Normal 20er,€1.30,1 pc,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-damenbinden-maxi-normal-20er-itemid-64ba924d64ce3d749aa9515f
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,Jeden Tag Slipeinlagen Normal 45er,€1.89,1 pc,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-slipeinlagen-normal-45er-itemid-64ba924d64ce3d749aa95160
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,O.B. Tampons Pro Comfort Super 16er,€4.27,50 g,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/o-b-tampons-pro-comfort-super-16er-itemid-64b65b0b9f8651f346451862
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,O.B. Pro Comfort Tampons Mini,€2.49,29 g,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/o-b-pro-comfort-tampons-mini-itemid-64b65b0b9f8651f346451861
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,Always Ultra Damenbinde Normal,€7.01,111 g,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/always-ultra-damenbinde-normal-itemid-64b65b0b9f8651f346451866
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,Carefree Slipeinlagen Cotton Feel Normal,€4.75,116 g,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/carefree-slipeinlagen-cotton-feel-normal-itemid-64b65b0b9f8651f346451869
sri balaji indian market mnchen,drogerie hygiene ,frauenhygiene ,Camelia Maxi-Binden Nacht,€3.20,279 g,€1.77/pc,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/camelia-maxi-binden-nacht-itemid-64b65b0b9f8651f346451868
penny neuhausen,tiere ,andere tiere ,Tiersnacks,€0.99,85 g,€11.65/kg,https://wolt.com/en/deu/munich/venue/penny-neuhausen/tiersnacks-itemid-6488740b6ccfdc5108a090fa
penny neuhausen,baby ,windeln pflege ,Babytime Gr.5 Windeln Pants ,€4.95,20 pcs,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/babytime-gr-5-windeln-pants-itemid-6488740b6ccfdc5108a0830f
penny neuhausen,baby ,windeln pflege ,Babytime Reinigungstücher Gesicht & Hände 25 Stk,€0.99,25 pcs,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/babytime-reinigungstucher-gesicht-hande-25-stk-itemid-6488740b6ccfdc5108a08308
penny neuhausen,baby ,windeln pflege ,Babytime Feuchttücher Sensitiv 2 x 80 Stk,€1.95,160 pcs,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/babytime-feuchttucher-sensitiv-2-x-80-stk-itemid-6488740b6ccfdc5108a082e3
